group	gene_name	dar_type	mean_expr
day15_white	NAPA	white	9.55134924863635
day15_white	LRBA	beige	1.88219086647455
day15_white	C1RL	white	14.8828626281773
day15_white	NFIA	beige	1.41250102819956
day15_white	LMO7-AS1	white	0.404295028409924
day15_white	AL137782.1	white	0.117524371541485
day15_white	AMPD3	white	0.827706188325608
day15_white	CAPN10-DT	beige	0.29657652975685
day15_white	ACACB	beige	52.888275274613
day15_white	AOPEP	white	0.841629041404554
day15_white	SRCIN1	beige	0.378735516192107
day15_white	AL133299.1	beige	0.204968764320389
day15_white	KIAA1217	white	1.14143873994766
day15_white	AC007906.2	white	1.47469822882918
day15_white	AC116003.1	white	0.0436553607918442
day15_white	PNMA8C	beige	0.00879614593580344
day15_white	MESTIT1	white	0.140067129020572
day15_white	CLEC11A	white	25.784754630712
day15_white	GLDC	white	0.0273575992125907
day15_white	FHL1	beige	69.3622608318296
day15_white	MLST8	beige	3.16965240116941
day15_white	CD36	beige	297.1318698696
day15_white	SULT1A1	white	0.971350988930459
day15_white	STXBP6	white	0.653543113243657
day15_white	EMP1	white	58.5458483360133
day15_white	VPS9D1-AS1	beige	0.206903098094309
day15_white	OPRK1	beige	0.0945478573891718
day15_white	ZNF175	white	1.0358402962771
day15_white	ARHGEF7-AS2	beige	0.131424751074705
day15_white	STX16-NPEPL1	beige	0.134338075800447
day15_white	TAFA2	white	0.199181075631624
day15_white	SPATA13	white	0.433693309695754
day15_white	SLC25A18	beige	1.60936976089545
day15_white	ESR1	beige	0.147606613562227
day15_white	ADAMTSL2	beige	0.0545987253494745
day15_white	LMO7	white	12.0227415559418
day15_white	EPS8	white	19.2316625541562
day15_white	CLP1	white	6.2966742848682
day15_white	AC007920.2	white	1.03296156424127
day15_white	SSC4D	beige	0.290723683765232
day15_white	AC009226.1	white	0.154987883207751
day15_white	SSR3	white	114.208668112269
day15_white	CCT6A	white	33.2535332590187
day15_white	AC108448.3	white	0.0434314196910903
day15_white	MYOSLID	white	1.24864547696978
day15_white	AC087645.2	white	0.230951756640812
day15_white	ITGB1-DT	white	0.151893586528125
day15_white	AC010519.1	white	0.596502765887925
day15_white	LINC02085	white	0.0322991026617516
day15_white	AC010327.4	white	0.237687069300979
day15_white	HRH1	white	1.28236313372493
day15_white	AOC3	beige	342.4702489651
day15_white	IGF1R	white	2.29451777496663
day15_white	ADA2	white	0.104669297409528
day15_white	XPNPEP1	beige	11.7367090132836
day15_white	AC007666.2	beige	0.0334604058147526
day15_white	AOC2	beige	21.4014362645841
day15_white	IFIT2	white	2.14479591022816
day15_white	PLIN5	beige	1.19603056065742
day15_white	KIF5C	white	0.00658516655647878
day15_white	NPFFR1	beige	0.00337158713757305
day15_white	NOTO	beige	0.0367349784335124
day15_white	AC084125.2	beige	0.198888006013204
day15_white	PPP1R1A	beige	6.20580624493466
day15_white	APOL6	beige	23.8661669248091
day15_white	HSPB2	white	0.835086867976502
day15_white	CNST	white	5.67116039085284
day15_white	FAP	white	9.58277049738197
day15_white	AL139220.2	white	0.0854364274156692
day15_white	TENM2	white	0.0696923101629064
day15_white	PM20D1	beige	0.949322952802525
day15_white	AL035252.2	beige	0.00864312187396742
day15_white	ZSCAN16-AS1	beige	2.84361833641171
day15_white	EMX2OS	white	8.09732912249455
day15_white	AP000695.1	white	0.541295515025791
day15_white	RAD9A	white	0.85719811789328
day15_white	AL356218.2	beige	2.6838545369376
day15_white	FABP4	beige	2135.28174185155
day15_white	FP236383.3	beige	0.0130052582983752
day15_white	PDGFRB	white	40.5341570901549
day15_white	U1	white	1.05673823765968
day15_white	CECR2	beige	0.0194810223878277
day15_white	EFCAB13	beige	0.123512951906921
day15_white	AP4E1	white	3.12438343830781
day15_white	AC006059.1	white	0.159904551536134
day15_white	AC073593.2	white	0.0313378614280118
day15_white	FHOD1	white	4.06476250580319
day15_white	SLC9A5	white	0.420439032948797
day15_white	CRYM	beige	0.018177980632858
day15_white	AFP	white	0.135355425324079
day15_white	ITGB1	white	243.20687523617
day15_white	AC126182.3	white	0.198252527126441
day15_white	NPEPL1	beige	0.292561575595906
day15_white	IPO9-AS1	beige	0.0726872650712338
day15_white	AL353138.1	white	1.19488032783033
day15_white	AC002074.1	white	1.63581753446863
day15_white	LINC01943	white	0.650487019716094
day15_white	NAPA-AS1	white	0.538690687625838
day15_white	ADAMTS18	beige	0.301750949909552
day15_white	ARID5B	white	17.0112470358716
day15_white	AC016831.7	white	0.133003292925502
day15_white	LY6E-DT	white	0.167231830547346
day15_white	TXNL4B	beige	4.45180591227088
day15_white	ABL2	white	3.28423432584273
day15_white	FAM87A	white	0.0167262292438918
day15_white	AC008063.1	beige	0.117194277947609
day15_white	ITIH1	beige	9.65264521868952
day15_white	TRAF3IP2	beige	2.78648214025137
day15_white	PKP2	beige	0.838034454753548
day15_white	AC002451.1	beige	0.0728028185117093
day15_white	TNFSF13B	beige	0.49647597615628
day15_white	AC119673.2	beige	0.384761324883384
day15_white	AP3B2	beige	3.46140121032679
day15_white	PAMR1	white	5.28108262640241
day15_white	AC011498.4	beige	0.5918662693082
day15_white	AC012313.1	beige	1.56653889875017
day15_white	AC034139.1	beige	0.114028156430981
day15_white	TNKS1BP1	beige	28.2874957980865
day15_white	AL353751.1	white	0.0399038866386265
day15_white	SLC12A6	white	2.15493926296575
day15_white	ARHGEF7	beige	3.9941364216932
day15_white	TENM4	beige	1.40488226665445
day15_white	PSEN2	white	3.00622829259819
day15_white	TNK2-AS1	beige	0.180729775242005
day15_white	LIPA	white	33.5868272525084
day15_white	C2orf49	beige	5.09797717958646
day15_white	ADIPOQ	beige	745.96111395893
day15_white	AL390755.3	beige	0.240471766457204
day15_white	ZBTB20	white	0.123616973531597
day15_white	AC051635.1	white	1.58304516096908
day15_white	FGF7	white	27.997421233858
day15_white	LBH	white	27.4499246078001
day15_white	ETNK2	white	0.329143953305412
day15_white	ARF1	white	68.1850626011105
day15_white	DEFB124	white	0.132685211774375
day15_white	VILL	beige	0.800141896377925
day15_white	AC067930.5	beige	0.0701771571940222
day15_white	AC073548.2	beige	0
day15_white	AC084024.3	beige	0
day15_white	SLC22A31	beige	0
day15_white	AC018358.1	beige	0
day15_white	NPHP3-ACAD11	beige	0
day15_white	AL139289.1	beige	0
day15_white	AL031123.1	beige	0
day15_white	FOXN4	beige	0
day15_white	FAM181B	beige	0
day15_white	IKZF1	beige	0
day15_white	AC008073.3	beige	0
day15_white	AL158077.2	beige	0
day15_white	UGT3A2	beige	0
day15_white	LBX1	beige	0
day15_white	LBX1-AS1	beige	0
day15_white	MIR1247	beige	0
day15_white	TMEM179	beige	0
day15_white	WT1-AS	beige	0
day15_white	AL049692.3	beige	0
day15_white	AC067930.1	beige	0
day15_white	AC018616.1	beige	0
day15_white	AP005717.1	beige	0
day15_white	DACT2	beige	0
day15_white	CXCR4	beige	0
day15_white	AC003956.1	beige	0
day15_white	AC010605.1	beige	0
day15_white	AL160171.1	beige	0
day15_white	AL139005.1	beige	0
day15_white	LINC00461	beige	0
day15_white	MNX1	beige	0
day15_white	MNX1-AS1	beige	0
day15_white	FP236383.9	beige	0
day15_white	GLP1R	beige	0
day15_white	ADAMTS19-AS1	beige	0
day15_white	ADAMTS19	beige	0
day15_white	IL13	beige	0
day15_white	AC011377.1	beige	0
day15_white	NFIA-AS1	beige	0
day15_white	AL121845.1	beige	0
day15_white	LINC01659	beige	0
day15_white	CACNG2	beige	0
day15_white	AC025284.1	beige	0
day15_white	CBFA2T3	beige	0
day15_white	AC092384.1	beige	0
day15_white	AL391807.1	beige	0
day15_white	LINC01586	beige	0
day15_white	MIR9-3HG	beige	0
day15_white	AC016044.1	beige	0
day15_white	LINC02363	beige	0
day15_white	AC020916.2	white	0
day15_white	AC010326.2	white	0
day15_white	AC008464.1	white	0
day15_white	AL133383.1	white	0
day15_white	LACTB2-AS1	white	0
day15_white	AL049870.2	white	0
day15_white	AC017002.6	white	0
day15_white	AC017002.5	white	0
day15_white	AC005871.2	white	0
day15_white	AC078927.1	white	0
day15_white	CORO7-PAM16	white	0
day15_white	MIR155	white	0
day15_white	AC104170.1	white	0
day15_white	AC090527.2	white	0
day15_white	AL109615.2	white	0
day15_white	AC090617.1	white	0
day15_white	AC069209.2	white	0
day15_white	AC069209.1	white	0
day15_white	AC244230.2	white	0
day15_white	GPR1-AS	white	0
day15_white	AL592146.1	white	0
day15_white	LINC02207	white	0
day15_white	AC117383.1	white	0
day15_white	AC061708.1	white	0
day15_white	AP003419.1	white	0
day15_white	AL365295.2	white	0
day15_white	ELAVL2	white	0
day15_white	AL161628.1	white	0
day15_white	AC021755.2	white	0
day15_white	AC005828.1	white	0
day15_white	AC005828.3	white	0
day15_white	LINC02201	white	0
day15_white	AL513164.1	white	0
day15_white	AL359736.1	white	0
day15_white	AL450992.1	white	0
day15_white	AC105402.3	white	0
day15_white	AC092100.1	white	0
day15_white	AC136698.1	white	0
day3_white	PDXK	beige	6.87292832379246
day3_white	CD96	beige	0.0498026465634772
day3_white	PCBD1	beige	10.3177957696833
day3_white	ZFAND6	white	9.87926060461273
day3_white	DIO3OS	beige	0.179004422805501
day3_white	SV2A	beige	1.5785797886689
day3_white	FOXN2	white	9.59850899739188
day3_white	SMILR	white	0.934098896244979
day3_white	EAPP	white	11.2777197443597
day3_white	ARHGEF6	beige	4.5927831227494
day3_white	FAM227B	white	0.098354671514138
day3_white	AKAP13	white	3.81953275390884
day3_white	AC112206.2	white	0.0275561318914518
day3_white	EGFLAM	beige	7.18218759939237
day3_white	MTUS1	beige	0.026985047209611
day3_white	MTMR2	white	6.548577088994
day3_white	EXOC6	beige	0.737430036106682
day3_white	FGF13	beige	0.00762547653833016
day3_white	LINC02384	beige	0.101054471375145
day3_white	LINC01579	white	0.00840907501575887
day3_white	GPRC5B	beige	4.01379861939489
day3_white	EPB41L4A	beige	0.0672498643675026
day3_white	SH3BP4	white	4.15688744918894
