Cluster	cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
1	1	GOBP_MITOCHONDRIAL_TRANSPORT	GOBP_MITOCHONDRIAL_TRANSPORT	14/399	26/1958	0.000148659163249375	0.00814922503994301	0.00768546535363396	FLVCR1/ATP5IF1/BAD/HIP1R/RHOT2/SLC25A10/ACAA2/TIMM13/ALKBH7/TIMM44/TSPO/SLC25A20/SLC25A5/SLC25A6	14
1	1	GOCC_OXIDOREDUCTASE_COMPLEX	GOCC_OXIDOREDUCTASE_COMPLEX	15/399	29/1958	0.000156108213700937	0.00827210771846274	0.00780135497058479	SDHB/PDHX/NDUFV1/ETFA/PDK2/RAC3/NDUFS7/NDUFB7/BCKDHA/ETFB/PDK1/PDHB/CYC1/IDH3G/PDHA1	15
1	1	GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION	16/399	32/1958	0.000157759931612474	0.00827210771846274	0.00780135497058479	AURKAIP1/DARS2/MRPL55/CHCHD1/MRPL16/YARS2/TUFM/MRPL28/COA3/MRPL4/MRPS12/MRPS22/GATB/GFM2/MRPS18A/MRPS28	16
1	1	GOBP_TETRAPYRROLE_METABOLIC_PROCESS	GOBP_TETRAPYRROLE_METABOLIC_PROCESS	9/399	13/1958	0.000182547799148054	0.00936819769244907	0.00883506817377256	FLVCR1/ATP5IF1/HMBS/MMAB/SUCLA2/SLC25A39/BLVRB/ABCB6/TSPO	9
4	4	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	38/317	129/1958	6.48371861456588e-05	0.010639101013351	0.0101452934521138	SLC27A3/MECR/ACADM/NR1H3/ACACB/ACADS/GPD1/FAHD1/HAGH/MLST8/DECR2/CES2/LDHD/ACLY/PDK2/ACADVL/RPTOR/FASN/GPX4/CYP4F12/SIRT6/ETFB/IL1B/PDK1/PECR/HADHA/ACOT8/PCK1/ACAD11/ACAA1/HADH/ME1/INSIG1/ASAH1/LPL/DECR1/ABCD1/PFKFB1	38
4	4	GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	12/317	23/1958	6.6220750880352e-05	0.010639101013351	0.0101452934521138	ALDH4A1/SUCLA2/L2HGDH/GPT2/SHMT1/ACLY/ACOT8/PCK1/SLC19A1/ALDH1L1/ME1/ASS1	12
4	4	GOBP_FATTY_ACID_METABOLIC_PROCESS	GOBP_FATTY_ACID_METABOLIC_PROCESS	29/317	89/1958	6.93383365432241e-05	0.010639101013351	0.0101452934521138	SLC27A3/MECR/ACADM/NR1H3/ACACB/ACADS/DECR2/CES2/ACLY/PDK2/ACADVL/FASN/GPX4/CYP4F12/ETFB/IL1B/PDK1/PECR/HADHA/ACOT8/PCK1/ACAD11/ACAA1/HADH/INSIG1/ASAH1/LPL/DECR1/ABCD1	29
1	1	GOBP_FATTY_ACID_BETA_OXIDATION	GOBP_FATTY_ACID_BETA_OXIDATION	15/399	30/1958	0.000254842846233184	0.0124341194203615	0.0117265130782059	ACADM/ETFA/ACADVL/ACAA2/ECH1/ETFB/HADHB/ACOT8/ACAD11/ACAA1/HADH/ETFDH/ACAT2/DECR1/CRAT	15
1	1	GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	GOBP_PORPHYRIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	8/399	11/1958	0.000257755377702352	0.0124341194203615	0.0117265130782059	FLVCR1/ATP5IF1/HMBS/SUCLA2/SLC25A39/BLVRB/ABCB6/TSPO	8
1	1	WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER	WP_METABOLIC_REPROGRAMMING_IN_PANCREATIC_CANCER	8/399	11/1958	0.000257755377702352	0.0124341194203615	0.0117265130782059	PDHX/ACLY/FASN/BCKDHA/PFKL/PDHB/HMGCR/PDHA1	8
1	1	GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS	35/399	99/1958	0.000271151261387835	0.0128238596562247	0.0120940738051416	SDHB/GUK1/IDI1/PDHX/PLAAT3/NDUFV1/CKB/NME3/ATP6V0C/CLN3/PIGQ/MVD/APRT/ACSF3/PEMT/ACLY/PDK2/ATP5F1D/NDUFS7/TECR/NDUFB7/SLC27A1/PDK1/PDXK/CHKB/ABHD5/PDHB/HMGCS1/IMPDH1/GPAA1/ABCA2/ACSL4/G6PD/PDHA1/GK	35
5	5	GOBP_NUCLEOSIDE_BISPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOSIDE_BISPHOSPHATE_BIOSYNTHETIC_PROCESS	10/234	19/1958	1.71538975243561e-05	0.0153607617244737	0.0151246994267904	PANK4/PANK1/PDHX/ACACB/MLYCD/ACSF3/PDK2/GCDH/TECR/ACSL4	10
5	5	GOCC_MITOCHONDRIAL_MATRIX	GOCC_MITOCHONDRIAL_MATRIX	30/234	118/1958	2.2838013994416e-05	0.0153607617244737	0.0151246994267904	MRPL55/MECR/ACAD8/MRPL23/PDHX/YARS2/CARS2/ETFA/MRPS11/MRPL46/HAGH/TRAP1/MLYCD/ACSF3/PDK2/ACSF2/ACADVL/FDXR/GCDH/MRPL34/SARS2/LONP1/MAIP1/D2HGDH/MRPS22/HADH/TBRG4/LACTB2/CA5B/HSD17B10	30
5	5	GOMF_ADENYL_NUCLEOTIDE_BINDING	GOMF_ADENYL_NUCLEOTIDE_BINDING	47/234	224/1958	2.73867651875255e-05	0.0153607617244737	0.0151246994267904	ATP13A2/NADK/GUK1/PANK4/PANK1/DGKZ/TKFC/NDUFV1/DHCR7/ACACB/DDX54/YARS2/CARS2/CSK/CLCN7/ABCC6/SRCAP/TRAP1/MVD/ACSF3/MYO1C/PDK2/ACSF2/ACADVL/GCDH/DDX49/SARS2/MAP3K10/DMPK/RUVBL2/LONP1/ACTG2/SGK2/PDXK/PFKL/MYLK/KCNAB1/TNK2/HADH/GATB/HPGD/SLC22A5/SIL1/POR/PTK2B/ABCA2/ACSL4	47
5	5	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	63/234	332/1958	2.7838660290001e-05	0.0153607617244737	0.0151246994267904	NADK/GUK1/PANK4/MECR/DPYSL4/PHYH/PANK1/SC5D/ACAD8/PDHX/NR1H3/TKFC/NDUFV1/DHCR7/UCP2/TALDO1/ACACB/NCOR2/YARS2/CSAD/CARS2/NUDT14/ETFA/ABCC6/HAGH/CLN3/MLYCD/MVD/ACSF3/PDK2/ACSF2/ACADVL/FDXR/SLC25A10/GCDH/GAMT/TECR/ILVBL/CYP4F12/ECH1/SARS2/CD320/D2HGDH/ADA/PDXK/PFKL/GCAT/ALDH1L1/ACAD11/HADH/GATB/HPGD/POR/FDFT1/NAPRT/PARP10/GPT/PTK2B/CRAT/ABCA2/ACER2/ACSL4/HSD17B10	63
5	5	GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	11/234	24/1958	3.40924224003157e-05	0.0153607617244737	0.0151246994267904	ST3GAL4/PDHX/B3GAT3/ACACB/CSAD/MLYCD/ACSF3/PDK2/GCDH/TECR/ACSL4	11
5	5	GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	47/234	227/1958	3.9691890760914e-05	0.0153607617244737	0.0151246994267904	NADK/FLVCR1/MRPL55/GUK1/PANK4/PANK1/ALG9/HMBS/ST3GAL4/MRPL23/PDHX/B3GAT3/NDUFV1/ACACB/YARS2/CSAD/CARS2/NUDT14/MRPS11/MRPL46/HAGH/CLN3/TRAP1/PIGQ/MLYCD/ACSF3/SLC25A39/PDK2/GCDH/GAMT/TECR/ILVBL/MRPL34/SARS2/DUS3L/ADA/PDXK/ASCC2/MRPS22/GATB/NSUN5/NAPRT/PARP10/PTK2B/ABCA2/ACER2/ACSL4	47
5	5	GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	23/234	83/1958	5.20817935028188e-05	0.0155612344087608	0.015322091271512	PHYH/ACAD8/TKFC/ACACB/CSAD/ETFA/HAGH/MLYCD/ACSF3/ACADVL/GCDH/ILVBL/CYP4F12/ECH1/ADA/PFKL/GCAT/ALDH1L1/ACAD11/HADH/GPT/CRAT/HSD17B10	23
5	5	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	19/234	62/1958	5.36132107106314e-05	0.0155612344087608	0.015322091271512	PHYH/ACAD8/ACACB/CSAD/ETFA/MLYCD/ACSF3/ACADVL/GCDH/ILVBL/CYP4F12/ECH1/GCAT/ALDH1L1/ACAD11/HADH/GPT/CRAT/HSD17B10	19
1	1	GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS	41/399	123/1958	0.000349824866241959	0.0162264918726078	0.0153030675293294	SDHB/GUK1/ATP5IF1/PDHX/BAD/NDUFV1/TALDO1/SUCLA2/IDH2/ABCC6/NME3/NTHL1/MLST8/ATP6V0C/MVD/APRT/ACSF3/CTNS/ACLY/PDK2/ACSF2/RPTOR/ATP5F1D/NDUFS7/TECR/NDUFB7/SIRT6/PDK1/ACOT8/PFKL/TSPO/TYMP/PDHB/HMGCS1/HMGCR/IMPDH1/MDH2/SLC2A6/ACSL4/G6PD/PDHA1	41
1	1	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	12/399	22/1958	0.000385666218704801	0.0175514513116223	0.0165526255932686	SDHB/NDUFV1/ETFA/TRAP1/ECSIT/NDUFS7/NDUFB7/ETFB/SCO2/TIMMDC1/ETFDH/CYC1	12
4	4	GOBP_LIPID_BIOSYNTHETIC_PROCESS	GOBP_LIPID_BIOSYNTHETIC_PROCESS	37/317	128/1958	0.00012732691691012	0.0183875047655497	0.0175340596413689	MECR/ST3GAL4/NR1H3/TM7SF2/DHCR7/PNPLA2/ACACB/FAR2/TTC7B/MLST8/CLN3/DECR2/MVD/PEMT/DHRS11/ACLY/ACADVL/RPTOR/PCYT2/FASN/GPX4/APOE/IL1B/PECR/MOGAT1/ACOT8/PCK1/SLC25A1/GPAT3/GPER1/INSIG1/GPAA1/ASAH1/LPL/AGPAT2/ABCD1/G6PD	37
1	1	HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	14/399	28/1958	0.000411986994920868	0.0184020857731321	0.0173548517743469	CACYBP/IDI1/HMBS/SC5D/TM7SF2/TMEM97/ACLY/FDXR/PDK1/PFKL/HMGCS1/HMGCR/G6PD/EBP	14
1	1	REACTOME_CHOLESTEROL_BIOSYNTHESIS	REACTOME_CHOLESTEROL_BIOSYNTHESIS	9/399	14/1958	0.000419774877324067	0.0184090364382845	0.0173614068879868	HSD17B7/IDI1/SC5D/TM7SF2/MVD/HMGCS1/HMGCR/ACAT2/EBP	9
4	4	REACTOME_FATTY_ACID_METABOLISM	REACTOME_FATTY_ACID_METABOLISM	19/317	50/1958	0.000136037492733404	0.0185540024811393	0.0176928294642743	SLC27A3/MECR/ACADM/ACACB/ACADS/DECR2/ACLY/ACADVL/FASN/GPX4/PECR/HADHA/ACOT8/SLC25A1/ACAD11/ACAA1/HADH/DECR1/ABCD1	19
1	1	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_NUCLEIC_ACID	GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_NUCLEIC_ACID	24/399	61/1958	0.000433801794964295	0.0186844630259621	0.0176211593781549	DARS2/MGMT/POLD4/DDX54/DHX37/YARS2/NTHL1/CHTF8/MPG/MRM3/DUS1L/QTRT1/POLR2E/FARSA/MAP1S/DDX49/RUVBL2/TRMT2A/GATB/RAD50/DDX41/ZNHIT1/LACTB2/RCL1	24
5	5	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS	10/234	22/1958	8.63985899716653e-05	0.0187762767617367	0.0184877252488744	MECR/ACAD8/DHCR7/ACADVL/DUS1L/GCDH/TECR/DUS3L/ACAD11/CRAT	10
5	5	GOBP_LIPID_MODIFICATION	GOBP_LIPID_MODIFICATION	15/234	44/1958	8.73814788641994e-05	0.0187762767617367	0.0184877252488744	PHYH/ST3GAL4/DGKZ/ACACB/ETFA/MLYCD/ACADVL/GCDH/ILVBL/ECH1/ACAD11/HADH/POR/CRAT/HSD17B10	15
5	5	GOCC_MITOCHONDRION	GOCC_MITOCHONDRION	56/234	295/1958	9.01901618147729e-05	0.0187762767617367	0.0184877252488744	TDRKH/FLVCR1/MRPL55/MECR/PHYH/ACAD8/MRPL23/PDHX/NDUFV1/UCP2/ACACB/YARS2/CARS2/RMDN3/ETFA/MRPS11/MRPL46/HAGH/TRAP1/RHOT2/MLYCD/ACSF3/ATPAF2/SLC25A39/PDK2/ACSF2/ACADVL/FDXR/SLC25A10/ECSIT/GCDH/MRPL34/THOP1/ECH1/SARS2/DMPK/TICAM1/TMEM143/LONP1/MAIP1/D2HGDH/TGM2/GCAT/ACAD11/MRPS22/UQCRC1/HADH/GATB/SLC25A4/TBRG4/POR/LACTB2/CRAT/ACSL4/CA5B/HSD17B10	56
5	5	GOBP_ORGANIC_ACID_METABOLIC_PROCESS	GOBP_ORGANIC_ACID_METABOLIC_PROCESS	38/234	176/1958	9.70350220244789e-05	0.0187762767617367	0.0184877252488744	MECR/PHYH/ACAD8/PDHX/NR1H3/UCP2/ACACB/YARS2/CSAD/CARS2/ETFA/HAGH/CLN3/MLYCD/ACSF3/PDK2/ACSF2/ACADVL/GCDH/GAMT/TECR/ILVBL/CYP4F12/ECH1/SARS2/D2HGDH/PFKL/GCAT/ALDH1L1/ACAD11/HADH/GATB/HPGD/POR/GPT/CRAT/ACSL4/HSD17B10	38
